"face_id,Manipulation,manipulated,none"
"243,Masculinity,3.4583333333333335,3.4615384615384617"
"243,Symmetry,3.0,2.9565217391304346"
"245,Averageness,3.217391304347826,2.7222222222222223"
"245,Femininity,2.65,2.619047619047619"
"245,Masculinity,2.782608695652174,3.4814814814814814"
"245,Symmetry,3.125,2.4444444444444446"
"246,Averageness,4.96,4.5"
"246,Femininity,5.304347826086956,4.833333333333333"
"246,Masculinity,5.517241379310345,5.190476190476191"
"246,Symmetry,5.3,5.136363636363637"
"251,Averageness,3.9473684210526314,4.090909090909091"
"251,Femininity,4.375,3.823529411764706"
"251,Masculinity,4.333333333333333,4.068965517241379"
"251,Symmetry,3.7142857142857144,4.571428571428571"
"253,Averageness,4.0476190476190474,4.4"
"253,Femininity,3.8823529411764706,3.625"
"253,Masculinity,4.366666666666666,5.05"
"253,Symmetry,4.0,4.0"
"255,Averageness,4.0,3.5454545454545454"
"255,Femininity,3.619047619047619,3.45"
"255,Masculinity,3.5,3.8666666666666667"
"255,Symmetry,2.88,3.764705882352941"
"256,Averageness,3.0,2.9583333333333335"
"256,Femininity,2.869565217391304,2.2222222222222223"
"256,Masculinity,2.7857142857142856,3.272727272727273"
"256,Symmetry,2.5,3.388888888888889"
